model,reranking_strategy,beta_mode,beta_value,N,fold,avg_recall,avg_precision,avg_f1,avg_ndcg,avg_EI,prop_sust_recom_items,nbr_sust_items_list,prop_sust_users,sust_coverage,coverage,avg_spearman_coef,prop_sust_recom_durable,prop_sust_recom_nondurable,gap
knn,A,hybrid_10,p,5,1,0.0067,0.0047,0.0053,0.0072,2.4073,0.8821,4.4104,0.9988,0.6369,0.328,0.1212,0.9278,0.8441,0.0837
knn,A,hybrid_20,p,5,1,0.006,0.0042,0.0047,0.006,1.8332,0.916,4.5802,0.9992,0.5919,0.2866,0.1516,0.9384,0.8975,0.0409
knn,B,global_0.0,0.0,5,1,0.017,0.0115,0.0133,0.0182,15.6006,0.2484,1.242,0.768,0.4444,0.462,-0.0793,0.25,0.2471,0.003
knn,B,global_0.2,0.2,5,1,0.015,0.0101,0.0117,0.0153,9.6863,0.5056,2.528,0.9788,0.7597,0.5313,-0.0619,0.5039,0.507,-0.0031
knn,B,global_0.4,0.4,5,1,0.0139,0.0093,0.0108,0.0134,7.6679,0.6021,3.0106,0.9992,0.7405,0.4895,0.0967,0.5981,0.6054,-0.0073
knn,B,global_0.6,0.6,5,1,0.012,0.0081,0.0094,0.0108,5.9233,0.7045,3.5226,1.0,0.6903,0.4288,0.2254,0.7001,0.7082,-0.008
knn,B,global_0.8,0.8,5,1,0.0106,0.0071,0.0083,0.0096,4.5522,0.7917,3.9586,1.0,0.5297,0.3275,0.2487,0.7918,0.7917,0.0001
knn,B,global_1.0,1.0,5,1,0.0011,0.0006,0.0008,0.0008,1.3958,0.8,4.0,1.0,0.002,0.0009,0.3589,0.8,0.8,0.0
knn,B,behavioral,p,5,1,0.0146,0.0098,0.0114,0.0145,8.6263,0.5586,2.7928,0.9866,0.7457,0.5093,0.0334,0.6141,0.5125,0.1016
knn,B,semantic,p,5,1,0.0123,0.0082,0.0096,0.0111,6.0709,0.6948,3.4738,0.9994,0.6776,0.4297,0.1964,0.6862,0.7019,-0.0157
knn,B,hybrid_5,p,5,1,0.0143,0.0096,0.0111,0.0137,7.7841,0.5977,2.9886,0.9972,0.7393,0.4922,0.0881,0.6323,0.569,0.0632
knn,B,hybrid_10,p,5,1,0.0137,0.0092,0.0107,0.013,7.3375,0.6203,3.1016,0.9988,0.735,0.4816,0.1141,0.6456,0.5993,0.0463
knn,B,hybrid_20,p,5,1,0.0133,0.009,0.0104,0.0123,6.94,0.6437,3.2184,0.9992,0.723,0.4668,0.1485,0.6588,0.6311,0.0277
itemknn,none,none,none,5,1,0.0088,0.006,0.0069,0.0087,13.4278,0.3406,1.7028,0.8784,0.7473,0.7462,0.0073,0.3361,0.3442,-0.0081
itemknn,A,global_0.0,0.0,5,1,0.0088,0.006,0.0069,0.0087,13.4278,0.3406,1.7028,0.8784,0.7473,0.7462,0.0073,0.3361,0.3442,-0.0081
itemknn,A,global_0.2,0.2,5,1,0.008,0.0054,0.0062,0.008,7.4793,0.5967,2.9834,0.9778,0.8553,0.6389,-0.0303,0.5983,0.5953,0.003
itemknn,A,global_0.4,0.4,5,1,0.0068,0.0045,0.0052,0.0064,3.221,0.8284,4.1418,0.998,0.7684,0.4482,0.0581,0.8345,0.8233,0.0112
