model,reranking_strategy,beta_mode,beta_value,N,fold,avg_recall,avg_precision,avg_f1,avg_ndcg,avg_EI,prop_sust_recom_items,nbr_sust_items_list,prop_sust_users,sust_coverage,coverage,avg_spearman_coef,prop_sust_recom_durable,prop_sust_recom_nondurable,gap
mf,B,hybrid_20,p,5,4,0.2737,0.1876,0.2208,0.2371,3.1104,0.3925,1.9625,0.8667,0.0682,0.0161,0.1671,0.2698,0.3971,-0.1273
mf,none,none,none,5,5,0.2217,0.148,0.1761,0.2737,4.3128,0.0,0.0,0.0,0.0,0.025,0.2908,0.0,0.0,0.0
mf,A,global_0.0,0.0,5,5,0.2217,0.148,0.1761,0.2737,4.3128,0.0,0.0,0.0,0.0,0.025,0.2908,0.0,0.0,0.0
mf,A,global_0.2,0.2,5,5,0.2163,0.1435,0.1712,0.1999,3.1653,0.3949,1.9747,0.8027,0.3106,0.0225,0.1254,0.2517,0.4001,-0.1484
mf,A,global_0.4,0.4,5,5,0.1002,0.0708,0.0821,0.0998,2.6,0.6498,3.2491,0.8608,0.3106,0.0201,0.3088,0.2909,0.6628,-0.3719
mf,A,global_0.6,0.6,5,5,0.0439,0.0339,0.0379,0.0446,2.2637,0.7904,3.9521,0.9781,0.3106,0.018,0.4367,0.435,0.8032,-0.3683
mf,A,global_0.8,0.8,5,5,0.0151,0.0122,0.0134,0.0147,2.0646,0.8766,4.3832,1.0,0.3106,0.0138,0.5888,0.6434,0.8851,-0.2417
mf,A,global_1.0,1.0,5,5,0.0006,0.0001,0.0002,0.0003,1.8,1.0,5.0,1.0,0.303,0.0059,0.7069,1.0,1.0,0.0
mf,A,behavioral,p,5,5,0.2217,0.148,0.1761,0.2737,4.2902,0.0083,0.0414,0.0119,0.2576,0.0302,0.2943,0.2378,0.0,0.2378
mf,A,semantic,p,5,5,0.0472,0.0367,0.0409,0.0576,2.3955,0.7345,3.6723,0.9338,0.3106,0.0198,0.338,0.4098,0.7462,-0.3364
mf,A,hybrid_5,p,5,5,0.2184,0.1453,0.1732,0.204,3.2745,0.3531,1.7655,0.7255,0.3106,0.0228,0.112,0.2685,0.3561,-0.0876
mf,A,hybrid_10,p,5,5,0.1141,0.0814,0.094,0.1204,2.9194,0.5184,2.5922,0.8012,0.3106,0.0226,0.3455,0.2769,0.5271,-0.2502
mf,A,hybrid_20,p,5,5,0.1085,0.0772,0.0893,0.1119,2.7469,0.5856,2.928,0.8499,0.3106,0.0222,0.3136,0.2979,0.596,-0.2981
mf,B,global_0.0,0.0,5,5,0.2183,0.1451,0.173,0.2224,4.3916,0.0,0.0,0.0,0.0,0.0164,0.3047,0.0,0.0,0.0
mf,B,global_0.2,0.2,5,5,0.2175,0.1445,0.1723,0.1986,3.2542,0.357,1.7849,0.8027,0.0379,0.0156,0.1302,0.2196,0.3619,-0.1424
mf,B,global_0.4,0.4,5,5,0.2156,0.143,0.1707,0.1729,3.0477,0.4378,2.1888,0.8608,0.0455,0.015,0.1844,0.2448,0.4447,-0.2
mf,B,global_0.6,0.6,5,5,0.1042,0.0737,0.0855,0.0881,2.6894,0.5942,2.9708,0.9781,0.0682,0.0137,0.1619,0.3622,0.6025,-0.2403
mf,B,global_0.8,0.8,5,5,0.0471,0.0366,0.0409,0.0444,2.4832,0.6854,3.4268,1.0,0.0985,0.0122,0.2834,0.4727,0.693,-0.2203
mf,B,global_1.0,1.0,5,5,0.0,0.0,0.0,0.0,2.4,0.8,4.0,1.0,0.0379,0.001,0.2235,0.8,0.8,0.0
mf,B,behavioral,p,5,5,0.2183,0.1451,0.173,0.2224,4.3665,0.0073,0.0363,0.0119,0.0379,0.0171,0.2999,0.2084,0.0,0.2084
mf,B,semantic,p,5,5,0.116,0.0816,0.0949,0.1066,2.8248,0.5342,2.6708,0.9338,0.0606,0.0147,0.177,0.3371,0.5413,-0.2042
mf,B,hybrid_5,p,5,5,0.2185,0.1454,0.1733,0.2016,3.3427,0.3253,1.6263,0.7255,0.0379,0.0158,0.1081,0.2252,0.3289,-0.1037
mf,B,hybrid_10,p,5,5,0.2175,0.1445,0.1724,0.1931,3.2565,0.3563,1.7813,0.8012,0.0379,0.0156,0.1577,0.2322,0.3607,-0.1286
mf,B,hybrid_20,p,5,5,0.2171,0.1442,0.172,0.1895,3.1793,0.3869,1.9343,0.8499,0.0379,0.0156,0.1815,0.2476,0.3919,-0.1443
